Кол-во пар при автоматическом: 147
Таблица для автоматического шага:
+------------+-----------------------+-----------------------+----------------------------+
|    X_k     |    Y(X_k) (точное)    |    Y_k (численное)    | Y(X_k) - Y_k (погрешность) |
+------------+-----------------------+-----------------------+----------------------------+
|    0.0     |          0.0          |          0.0          |            0.0             |
| 0.0078125  | -0.010000000020833335 | -0.007812500003637979 |   -0.0021875000171953565   |
|  0.015625  | -0.020000000641666703 | -0.015625000164921708 |   -0.004375000476744995    |
| 0.0234375  | -0.030000004862501307 | -0.023437501327862396 |    -0.00656250353463891    |
|  0.03125   |  -0.04000002048335078 |  -0.03125000571890449 |   -0.008750014764446291    |
| 0.0390625  |  -0.04000002048335078 | -0.039062517645423414 |   -0.0009375028379273662   |
|  0.046875  | -0.050000062504296776 | -0.046875044194236784 |   -0.003125018310059992    |
| 0.0546875  |  -0.0600001555256716  |  -0.05468759593014568 |   -0.005312559595525922    |
|   0.0625   |  -0.07000033614852308 |  -0.06250018759453296 |   -0.007500148553990116    |
| 0.0703125  |  -0.08000065537561366 |  -0.07031283880405881 |   -0.009687816571554847    |
|  0.078125  |  -0.08000065537561366 |  -0.07812557474950915 |   -0.0018750806261045028   |
| 0.0859375  |  -0.0900011810133269  |  -0.0859384268948712  |   -0.0040627541184556915   |
|  0.09375   |  -0.10000200007499951 |  -0.09375143367673093 |   -0.006250566398268584    |
| 0.1015625  |  -0.11000322118636699 |  -0.10156464120411121 |   -0.008438579982255778    |
|  0.109375  |  -0.11000322118636699 |  -0.10937810395889547 |   -0.0006251172274715222   |
| 0.1171875  |  -0.12000497699400454 |  -0.11719188549701037 |   -0.0028130914969941717   |
|   0.125    |  -0.13000742657786396 |   -0.125006059150573  |   -0.005001367427290959    |
| 0.1328125  |  -0.14001075786925002 |  -0.13282070873124174 |   -0.007190049138008275    |
|  0.140625  |  -0.15001519007584854 |  -0.14063592923504767 |   -0.009379260840800874    |
| 0.1484375  |  -0.15001519007584854 |  -0.14845182754902206 |   -0.001563362526826484    |
|  0.15625   |  -0.1600209761157115  |   -0.156268523159979  |   -0.0037524529557325104   |
| 0.1640625  |  -0.17002840506242473 |  -0.16408614886585673 |   -0.005942256196567991    |
|  0.171875  |  -0.18003780460402855 |  -0.17190485149006968 |   -0.008132953113958868    |
| 0.1796875  |  -0.18003780460402855 |  -0.17972479259937427 |  -0.00031301200465427836   |
